ticker,quarter,period_label,announcement_date,notes
BBCA,1,Q1 2024 (Jan-Mar),,
BBCA,2,Q2 2024 (Apr-Jun),,
BBCA,3,Q3 2024 (Jul-Sep),,
BBCA,4,Annual 2024 / FY2024,,
BBCA,5,Q1 2025 (Jan-Mar),,
BBCA,6,Q2 2025 (Apr-Jun),,
BBCA,7,Q3 2025 (Jul-Sep),,
BBCA,8,Annual 2025 / FY2025,,
BBRI,1,Q1 2024 (Jan-Mar),,
BBRI,2,Q2 2024 (Apr-Jun),,
BBRI,3,Q3 2024 (Jul-Sep),,
BBRI,4,Annual 2024 / FY2024,,
BBRI,5,Q1 2025 (Jan-Mar),,
BBRI,6,Q2 2025 (Apr-Jun),,
BBRI,7,Q3 2025 (Jul-Sep),,
BBRI,8,Annual 2025 / FY2025,,
BMRI,1,Q1 2024 (Jan-Mar),,
BMRI,2,Q2 2024 (Apr-Jun),,
BMRI,3,Q3 2024 (Jul-Sep),,
BMRI,4,Annual 2024 / FY2024,,
BMRI,5,Q1 2025 (Jan-Mar),,
BMRI,6,Q2 2025 (Apr-Jun),,
BMRI,7,Q3 2025 (Jul-Sep),,
BMRI,8,Annual 2025 / FY2025,,
TLKM,1,Q1 2024 (Jan-Mar),,
TLKM,2,Q2 2024 (Apr-Jun),,
TLKM,3,Q3 2024 (Jul-Sep),,
TLKM,4,Annual 2024 / FY2024,,
TLKM,5,Q1 2025 (Jan-Mar),,
TLKM,6,Q2 2025 (Apr-Jun),,
TLKM,7,Q3 2025 (Jul-Sep),,
TLKM,8,Annual 2025 / FY2025,,
ASII,1,Q1 2024 (Jan-Mar),,
ASII,2,Q2 2024 (Apr-Jun),,
ASII,3,Q3 2024 (Jul-Sep),,
ASII,4,Annual 2024 / FY2024,,
ASII,5,Q1 2025 (Jan-Mar),,
ASII,6,Q2 2025 (Apr-Jun),,
ASII,7,Q3 2025 (Jul-Sep),,
ASII,8,Annual 2025 / FY2025,,
